,,,DISTRICTWISE RAINFALL DISTRIBUTION,,,,,,,
S.No.,MET.,SUBDIVISION/ UT,DAY :,22.02.2026,TO,22.02.2026,PERIOD :,01.01.2026,TO,22.02.2026
,STATE/DISTRICT (NAME),,ACTUAL,NORMAL,% DEP.,CAT.,ACTUAL,NORMAL,% DEP.,CAT.
,,,(mm),(mm),,,(mm),(mm),,
1,A & N ISLAND,,0.5,0.5,-3%,N,35.8,75.9,-53%,D
1,NICOBAR,,2.1,1.2,78%,LE,117.3,139.6,-16%,N
2,NORTH & MIDDLE ANDAMAN,,0,0.2,-100%,NR,11.7,45.9,-75%,LD
3,SOUTH ANDAMAN,,0,0.4,-100%,NR,11.8,69.3,-83%,LD
2,ARUNACHAL PRADESH,,0.1,4.3,-97%,LD,18.3,108.5,-83%,LD
1,ANJAW,,0,4.3,-100%,NR,0,121.2,-100%,NR
2,CHANGLANG,,0,2.2,-100%,NR,3.6,72.2,-95%,LD
3,DIBANG VALLEY,,,10.1,,*,117.5,202.7,-42%,D
4,EAST KAMENG,,0,2.3,-100%,NR,0,100.6,-100%,NR
5,EAST SIANG,,0,4,-100%,NR,5.6,117.8,-95%,LD
6,KURUNG KUMEY,,,6.1,,*,,154.2,,*
7,LOHIT,,0,6.6,-100%,NR,5.7,148.6,-96%,LD
8,LOWER DIBANG VALLEY,,0,6.6,-100%,NR,0,137,-100%,NR
9,LOWER SUBANSIRI,,0,0.9,-100%,NR,4.4,126.7,-97%,LD
10,PAPUMPARA,,0,2.6,-100%,NR,2.1,51.8,-96%,LD
11,TAWANG,,0,0.1,-100%,NR,2.8,18.1,-85%,LD
12,TIRAP,,3,1.2,150%,LE,5,67.4,-93%,LD
13,UPPER SIANG,,0,7.1,-100%,NR,14.2,171.6,-92%,LD
14,UPPER SUBANSIRI,,0,3.4,-100%,NR,0,84.2,-100%,NR
15,WEST KAMENG,,0,1.1,-100%,NR,0.7,40.6,-98%,LD
16,WEST SIANG,,0,2.5,-100%,NR,0.2,83.8,-99%,LD
3,ASSAM & MEGHALAYA,,0.1,1.2,-94%,LD,0.2,35,-99%,LD
,ASSAM,,0.1,1.2,-93%,LD,0.3,37,-99%,LD
1,BAJALI,,0,0.7,-100%,NR,0,22.2,-100%,NR
2,BAKSA,,0,0.2,-100%,NR,0,27.8,-100%,NR
3,BARPETA,,0,0.7,-100%,NR,0,22.2,-100%,NR
4,BISWANATH,,0,0,-100%,NR,0,69,-100%,NR
5,BONGAIGAON,,0,0.2,-100%,NR,0,18,-100%,NR
6,CACHAR,,0,1.8,-100%,NR,0,44.7,-100%,NR
7,CHARAIDEO,,0,1.3,-100%,NR,0,43.5,-100%,NR
8,CHIRANG,,0,1.2,-100%,NR,0,29.7,-100%,NR
9,DARRANG,,0,1,-100%,NR,0,39.7,-100%,NR
10,DHEMAJI,,0,1,-100%,NR,0,61.9,-100%,NR
11,DHUBRI,,0,1.4,-100%,NR,0,25.8,-100%,NR
12,DIBRUGARH,,0,2.2,-100%,NR,0.7,59.1,-99%,LD
13,DIMA HASAO,,0,1.5,-100%,NR,0,22.4,-100%,NR
14,GOALPARA,,0,0.2,-100%,NR,0,20.5,-100%,NR
15,GOLAGHAT,,2.1,1.3,58%,E,2.1,41.1,-95%,LD
16,HAILAKANDI,,0,3.1,-100%,NR,0,31,-100%,NR
17,HOJAI,,0,0.3,-100%,NR,0,22.1,-100%,NR
18,JORHAT,,0,1.7,-100%,NR,0,53,-100%,NR
19,KAMRUP (RURAL),,0,1.3,-100%,NR,0,28.2,-100%,NR
20,KAMRUP METRO.,,0,0.5,-100%,NR,0,18.8,-99%,LD
21,KARBI ANGLONG,,0,0.6,-100%,NR,0,30.1,-100%,NR
22,KOKRAJHAR,,0,0.4,-100%,NR,0,23.4,-100%,NR
23,LAKHIMPUR,,0,3.2,-100%,NR,0.5,71.2,-99%,LD
